iter	Passed	Remaining
467	714	812
468	715	810
469	716	808
470	717	805
471	718	803
472	719	801
473	720	799
474	721	797
475	721	794
476	722	792
477	723	790
478	724	787
479	728	789
480	729	787
481	730	785
482	731	782
483	732	780
484	733	778
485	734	776
486	735	774
487	735	772
488	736	769
489	737	767
490	738	765
491	742	766
492	742	763
493	743	761
494	744	759
495	745	757
496	746	755
497	747	753
498	748	751
499	749	749
500	749	746
501	750	744
502	752	743
503	753	741
504	754	739
505	755	738
506	756	736
507	757	734
508	758	731
509	759	729
510	760	727
511	761	725
512	762	723
513	763	721
514	764	719
515	766	719
516	768	717
517	769	715
518	771	714
519	772	712
520	773	710
521	774	708
522	775	706
523	776	705
524	777	703
525	780	703
526	781	701
527	782	699
528	784	698
529	785	696
530	786	695
531	787	693
532	788	691
533	789	689
534	793	689
535	794	687
536	795	685
537	796	683
538	797	681
539	797	679
540	798	677
541	799	675
542	800	673
543	801	671
544	802	669
545	803	667
546	805	667
547	806	665
548	807	663
549	808	661
550	809	659
551	810	657
552	811	655
553	811	653
554	813	651
555	813	649
556	815	648
557	815	646
558	817	644
559	818	643
560	819	641
561	820	639
562	821	637
563	821	635
564	822	633
565	823	631
566	824	629
567	825	627
568	826	625
569	826	623
570	827	621
571	828	620
572	830	618
573	832	617
574	833	615
575	834	613
576	835	612
577	836	610
578	836	608
579	837	606
580	838	604
581	839	603
582	843	603
583	845	601
584	846	600
585	847	598
586	848	597
587	849	595
588	850	593
589	911	633
590	913	631
591	914	630
592	915	628
593	916	626
594	917	624
595	944	640
596	945	638
597	946	636
598	947	634
599	948	632
600	949	630
601	960	635
602	972	640
603	973	638
604	975	636
605	976	635
606	981	635
607	983	634
608	991	636
609	993	634
610	994	633
611	995	631
612	996	629
613	1004	631
614	1007	630
615	1008	628
616	1009	626
617	1011	625
618	1018	626
619	1020	625
620	1022	623
621	1023	621
622	1024	620
623	1027	619
624	1030	618
625	1031	616
626	1033	614
627	1035	613
628	1036	611
629	1037	609
630	1039	607
631	1040	605
632	1042	604
633	1044	602
634	1045	600
635	1046	598
636	1047	596
637	1048	594
638	1050	593
639	1052	591
640	1054	590
641	1055	588
642	1056	586
643	1057	584
644	1058	582
645	1060	581
646	1061	579
647	1063	577
648	1064	575
649	1065	573
650	1067	572
651	1068	570
652	1069	568
653	1070	566
654	1073	565
655	1075	563
656	1076	562
657	1077	560
658	1078	558
659	1079	556
660	1080	554
661	1083	553
662	1084	551
663	1086	549
664	1089	548
665	1090	546
666	1091	544
667	1092	543
668	1093	541
669	1094	539
670	1098	538
671	1100	537
672	1101	535
673	1103	533
674	1105	532
675	1106	530
676	1107	528
677	1111	527
678	1112	525
679	1113	524
680	1114	522
681	1115	520
682	1116	518
683	1118	516
684	1119	514
685	1123	514
686	1124	512
687	1125	510
688	1126	508
689	1128	507
690	1129	505
691	1130	503
692	1131	501
693	1137	501
694	1138	499
695	1140	497
696	1141	496
697	1142	494
698	1143	492
699	1144	490
700	1145	488
701	1148	487
702	1150	485
703	1151	484
704	1152	482
705	1153	480
706	1154	478
707	1155	476
708	1156	474
709	1158	473
710	1159	471
711	1162	470
712	1163	468
713	1164	466
714	1165	464
715	1166	462
716	1167	460
717	1169	459
718	1170	457
719	1172	456
720	1174	454
721	1175	452
722	1176	450
723	1177	448
724	1178	447
725	1179	445
726	1181	443
727	1182	441
728	1184	440
729	1187	439
730	1188	437
731	1189	435
732	1190	433
733	1191	431
734	1192	430
735	1194	428
736	1194	426
737	1196	424
738	1200	423
739	1201	422
740	1202	420
741	1203	418
742	1204	416
743	1207	415
744	1209	413
745	1211	412
746	1212	410
747	1213	408
748	1214	407
749	1215	405
750	1217	403
751	1218	401
752	1219	400
753	1220	398
754	1227	398
755	1228	396
756	1229	394
757	1230	392
758	1232	391
759	1233	389
760	1234	387
761	1239	387
762	1241	385
763	1242	383
764	1243	381
765	1244	380
766	1245	378
767	1246	376
768	1252	376
769	1253	374
770	1254	372
771	1258	371
772	1260	370
773	1261	368
774	1262	366
775	1264	364
776	1265	363
777	1266	361
778	1267	359
779	1269	358
780	1270	356
781	1271	354
782	1272	352
783	1273	350
784	1275	349
785	1276	347
786	1278	345
787	1283	345
788	1284	343
789	1285	341
790	1287	340
791	1289	338
792	1290	336
793	1291	335
794	1294	333
795	1296	332
796	1297	330
797	1298	328
798	1299	326
799	1300	325
800	1302	323
801	1303	321
802	1304	320
803	1307	318
804	1309	317
805	1310	315
806	1311	313
807	1312	311
808	1313	310
809	1314	308
810	1315	306
811	1316	304
812	1317	303
813	1321	301
814	1322	300
815	1323	298
816	1324	296
817	1325	295
818	1327	293
819	1328	291
820	1329	289
821	1330	288
822	1335	287
823	1336	285
824	1337	283
825	1339	282
826	1340	280
827	1341	278
828	1343	277
829	1344	275
830	1348	274
831	1349	272
832	1351	270
833	1352	269
834	1353	267
835	1353	265
836	1354	263
837	1356	262
838	1357	260
839	1358	258
840	1363	257
841	1364	255
842	1365	254
843	1366	252
844	1367	250
845	1368	249
846	1369	247
847	1370	245
848	1375	244
849	1376	242
850	1377	241
851	1378	239
852	1379	237
853	1381	236
854	1382	234
855	1383	232
856	1384	230
857	1385	229
858	1387	227
859	1388	226
860	1389	224
861	1390	222
862	1391	220
863	1392	219
864	1393	217
865	1394	215
866	1395	214
867	1396	212
868	1398	210
869	1399	209
870	1400	207
871	1401	205
872	1402	204
873	1403	202
874	1404	200
875	1405	199
876	1407	197
877	1408	195
878	1410	194
879	1411	192
880	1412	190
881	1414	189
882	1415	187
883	1416	185
884	1417	184
885	1419	182
886	1420	181
887	1422	179
888	1424	177
889	1425	176
890	1426	174
891	1427	172
892	1428	171
893	1430	169
894	1433	168
895	1435	166
896	1436	164
897	1437	163
898	1438	161
899	1439	159
900	1440	158
901	1441	156
902	1442	154
903	1446	153
904	1447	151
905	1449	150
906	1459	149
907	1460	148
908	1462	146
909	1464	144
910	1473	143
911	1474	142
912	1475	140
913	1477	138
914	1478	137
915	1483	136
916	1484	134
917	1486	132
918	1488	131
919	1490	129
920	1491	127
921	1493	126
922	1494	124
923	1496	123
924	1511	122
925	1527	122
926	1529	120
927	1531	118
928	1533	117
929	1534	115
930	1537	113
931	1539	112
932	1541	110
933	1542	108
934	1543	107
935	1544	105
936	1545	103
937	1547	102
938	1549	100
939	1550	98
940	1551	97
941	1552	95
942	1554	93
943	1555	92
944	1556	90
945	1557	88
946	1559	87
947	1561	85
948	1562	83
949	1562	82
950	1564	80
951	1565	78
952	1566	77
953	1567	75
954	1569	73
955	1570	72
956	1572	70
957	1574	69
958	1575	67
959	1576	65
960	1577	64
961	1578	62
962	1579	60
963	1580	59
964	1583	57
965	1585	55
966	1586	54
967	1588	52
968	1589	50
969	1590	49
970	1591	47
971	1593	45
972	1594	44
973	1595	42
974	1600	41
975	1601	39
976	1602	37
977	1603	36
978	1605	34
979	1606	32
980	1607	31
981	1608	29
982	1610	27
983	1612	26
984	1613	24
985	1614	22
986	1616	21
987	1617	19
988	1619	18
989	1620	16
990	1621	14
991	1626	13
992	1629	11
993	1630	9
994	1631	8
995	1633	6
996	1634	4
997	1635	3
998	1637	1
999	1639	0
